datetime,epoch,open,high,low,close
2026-04-21 19:30:00.000,1776799800,771.36,778.91,770.09,777.19
2026-04-21 20:00:00.000,1776801600,776.93,777.52,766.22,767.75
2026-04-21 20:30:00.000,1776803400,767.74,769.05,761.02,767.42
2026-04-21 21:00:00.000,1776805200,767.22,767.79,757.92,761.54
2026-04-21 21:30:00.000,1776807000,761.51,763.9,758.15,758.15
2026-04-21 22:00:00.000,1776808800,758.39,758.6,751.62,753.94
2026-04-21 22:30:00.000,1776810600,753.77,755.97,747.55,749.07
2026-04-21 23:00:00.000,1776812400,748.81,750.38,740.09,740.8
2026-04-21 23:30:00.000,1776814200,740.88,747.55,737.91,747.52
2026-04-22 00:00:00.000,1776816000,747.91,756.92,747.75,752.37
2026-04-22 00:30:00.000,1776817800,752.37,753.05,746.81,746.81
2026-04-22 01:00:00.000,1776819600,746.72,747.61,741.12,742.91
2026-04-22 01:30:00.000,1776821400,742.82,748.75,741.58,745.37
2026-04-22 02:00:00.000,1776823200,745.46,745.7,736.35,737.02
2026-04-22 02:30:00.000,1776825000,736.73,737.83,732.33,735.58
2026-04-22 03:00:00.000,1776826800,735.62,740.15,730.12,731.27
2026-04-22 03:30:00.000,1776828600,731.28,731.28,724.15,725.96
2026-04-22 04:00:00.000,1776830400,725.9,732.91,722.94,731.8
2026-04-22 04:30:00.000,1776832200,731.55,734.45,728.33,729.72
2026-04-22 05:00:00.000,1776834000,729.67,736.41,729.53,733.92
2026-04-22 05:30:00.000,1776835800,734.11,747.11,733.48,744.96
2026-04-22 06:00:00.000,1776837600,744.96,751.38,738.74,749.97
2026-04-22 06:30:00.000,1776839400,749.79,756.13,748.6,754.26
2026-04-22 07:00:00.000,1776841200,754.26,764.72,752.42,764.25
2026-04-22 07:30:00.000,1776843000,764.29,772.25,760.35,761.53
2026-04-22 08:00:00.000,1776844800,761.35,764.69,756.35,763.08
2026-04-22 08:30:00.000,1776846600,762.84,769.07,759.88,760.47
2026-04-22 09:00:00.000,1776848400,760.66,763.41,758.31,761.76
2026-04-22 09:30:00.000,1776850200,761.84,769.53,761.55,761.55
2026-04-22 10:00:00.000,1776852000,761.67,762.2,756.11,758.02
2026-04-22 10:30:00.000,1776853800,757.66,765.2,756.36,763.77
2026-04-22 11:00:00.000,1776855600,763.83,763.83,755.21,755.74
2026-04-22 11:30:00.000,1776857400,755.68,761.97,751.82,761.71
2026-04-22 12:00:00.000,1776859200,761.48,767.38,760.29,766.49
2026-04-22 12:30:00.000,1776861000,766.04,767.5,758.17,767.11
2026-04-22 13:00:00.000,1776862800,767.37,786.95,765.86,784.48
2026-04-22 13:30:00.000,1776864600,784.62,792.49,783.91,791.19
2026-04-22 14:00:00.000,1776866400,791.29,792.41,783.76,786.05
2026-04-22 14:30:00.000,1776868200,786.16,786.4,778.69,782.58
2026-04-22 15:00:00.000,1776870000,782.59,782.95,773.17,780.03
2026-04-22 15:30:00.000,1776871800,779.96,782.46,776.97,778.57
2026-04-22 16:00:00.000,1776873600,778.6,778.74,771.07,774.24
2026-04-22 16:30:00.000,1776875400,773.98,783.15,772.15,779.3
2026-04-22 17:00:00.000,1776877200,778.78,783.69,774.29,778.34
2026-04-22 17:30:00.000,1776879000,778.36,783.12,771.89,774.21
2026-04-22 18:00:00.000,1776880800,774,780.66,771.47,771.63
2026-04-22 18:30:00.000,1776882600,771.58,773.13,764.63,767.96
2026-04-22 19:00:00.000,1776884400,768.02,768.13,759.16,761.32
2026-04-22 19:30:00.000,1776886200,761.09,764.67,758.87,762.27
2026-04-22 20:00:00.000,1776888000,762.02,765.77,755.86,756.15
2026-04-22 20:30:00.000,1776889800,756.29,760.3,754.43,759.73
2026-04-22 21:00:00.000,1776891600,759.66,763.62,757.26,763.62
2026-04-22 21:30:00.000,1776893400,763.65,766.14,759.4,764.28
2026-04-22 22:00:00.000,1776895200,763.99,772.53,763.96,767.89
2026-04-22 22:30:00.000,1776897000,767.87,768.73,757.23,757.23
2026-04-22 23:00:00.000,1776898800,757.33,759.29,745.96,749.34
2026-04-22 23:30:00.000,1776900600,749.26,749.41,740.67,744.36
2026-04-23 00:00:00.000,1776902400,744.41,748.78,740.84,745.72
2026-04-23 00:30:00.000,1776904200,745.51,750.38,744.81,744.99
2026-04-23 01:00:00.000,1776906000,745.2,752.67,742.71,752.1
2026-04-23 01:30:00.000,1776907800,752.2,758.33,748.66,758.33
2026-04-23 02:00:00.000,1776909600,758.6,759.18,751.03,756.39
2026-04-23 02:30:00.000,1776911400,756.34,767.89,756.18,766.29
2026-04-23 03:00:00.000,1776913200,766.47,769.02,761.44,766.88
2026-04-23 03:30:00.000,1776915000,766.98,767.76,753.34,753.51
2026-04-23 04:00:00.000,1776916800,753.6,764.37,751.21,760.95
2026-04-23 04:30:00.000,1776918600,760.92,766.75,759.84,766.56
2026-04-23 05:00:00.000,1776920400,766.3,767.56,761.43,761.43
2026-04-23 05:30:00.000,1776922200,761.57,763.21,757.76,758.96
2026-04-23 06:00:00.000,1776924000,758.86,761.13,753.18,754.32
2026-04-23 06:30:00.000,1776925800,754.51,755.29,746.99,747.34
2026-04-23 07:00:00.000,1776927600,747.07,756.61,746.13,753.59
2026-04-23 07:30:00.000,1776929400,753.73,754.12,746.68,749.13
2026-04-23 08:00:00.000,1776931200,749.19,754.04,745.92,749.67
2026-04-23 08:30:00.000,1776933000,749.62,749.68,738.78,740.18
2026-04-23 09:00:00.000,1776934800,740.15,747.09,738.65,741.45
2026-04-23 09:30:00.000,1776936600,741.31,745.38,739.84,744.81
2026-04-23 10:00:00.000,1776938400,744.77,756.7,742.28,755.93
2026-04-23 10:30:00.000,1776940200,756.04,759.15,752.81,756.38
2026-04-23 11:00:00.000,1776942000,756.4,759.66,753.68,756
2026-04-23 11:30:00.000,1776943800,755.84,760.61,752.16,754.38
2026-04-23 12:00:00.000,1776945600,754.32,763.78,754.32,761.17
2026-04-23 12:30:00.000,1776947400,760.97,767.34,759.07,760.67
2026-04-23 13:00:00.000,1776949200,760.61,769.28,760.29,765.98
2026-04-23 13:30:00.000,1776951000,765.87,768.84,761.5,763.16
2026-04-23 14:00:00.000,1776952800,763.14,769.14,761.9,766.28
2026-04-23 14:30:00.000,1776954600,766.62,771.92,762.94,770.64
2026-04-23 15:00:00.000,1776956400,770.68,775.63,767.8,773.99
2026-04-23 15:30:00.000,1776958200,773.77,785,771.85,780.35
2026-04-23 16:00:00.000,1776960000,780.35,787.36,777.73,783.83
2026-04-23 16:30:00.000,1776961800,783.5,787.55,781.62,783.39
2026-04-23 17:00:00.000,1776963600,783.21,791.79,777.2,791.79
2026-04-23 17:30:00.000,1776965400,791.85,792.26,779.47,781.06
2026-04-23 18:00:00.000,1776967200,780.84,783.76,774.33,774.33
2026-04-23 18:30:00.000,1776969000,774.33,774.82,767.2,767.2
2026-04-23 19:00:00.000,1776970800,767.27,772.65,765.89,768.58
2026-04-23 19:30:00.000,1776972600,768.32,775.62,767.01,770.09
2026-04-23 20:00:00.000,1776974400,770.37,778.98,769.8,778.98
2026-04-23 20:30:00.000,1776976200,779.28,781.29,762.52,764.93
2026-04-23 21:00:00.000,1776978000,764.98,774.73,763.67,774.37
2026-04-23 21:30:00.000,1776979800,774.19,777.88,768.94,776.84
2026-04-23 22:00:00.000,1776981600,776.48,779.05,772.25,772.47
2026-04-23 22:30:00.000,1776983400,772.38,772.71,761.93,762.48
2026-04-23 23:00:00.000,1776985200,762.48,767.01,759.94,763.23
2026-04-23 23:30:00.000,1776987000,763.32,764.26,757.21,758.1
2026-04-24 00:00:00.000,1776988800,758.22,758.22,750.71,750.86
2026-04-24 00:30:00.000,1776990600,750.44,754.38,746.95,747.89
2026-04-24 01:00:00.000,1776992400,747.84,751.05,743.25,750.24
2026-04-24 01:30:00.000,1776994200,750.2,753.15,747.97,751.93
2026-04-24 02:00:00.000,1776996000,752.18,752.18,741.37,746.96
2026-04-24 02:30:00.000,1776997800,747.1,755.07,743.5,753.39
2026-04-24 03:00:00.000,1776999600,753.52,756.42,748.5,751.12
2026-04-24 03:30:00.000,1777001400,751.13,755.91,742.77,746.95
2026-04-24 04:00:00.000,1777003200,746.96,749.33,744.64,747.53
2026-04-24 04:30:00.000,1777005000,747.66,751.84,745.79,745.79
2026-04-24 05:00:00.000,1777006800,745.71,757.33,744.91,754.91
2026-04-24 05:30:00.000,1777008600,755.08,760.14,748.35,759.78
2026-04-24 06:00:00.000,1777010400,760.11,767.36,760.11,763.67
2026-04-24 06:30:00.000,1777012200,763.68,764.15,754.28,756.98
2026-04-24 07:00:00.000,1777014000,756.77,763.02,751.13,761.01
2026-04-24 07:30:00.000,1777015800,761.39,765.16,759.84,760.97
2026-04-24 08:00:00.000,1777017600,761.06,763.13,758.11,760.29
2026-04-24 08:30:00.000,1777019400,760.39,761.9,752.09,752.71
2026-04-24 09:00:00.000,1777021200,752.62,758.1,746.77,758.1
2026-04-24 09:30:00.000,1777023000,758.14,758.14,741.59,744.94
2026-04-24 10:00:00.000,1777024800,745.15,747.25,735.46,740.47
2026-04-24 10:30:00.000,1777026600,740.29,741.6,733.5,735.21
2026-04-24 11:00:00.000,1777028400,735.19,741.85,732.63,734.45
2026-04-24 11:30:00.000,1777030200,734.19,736.19,729.75,729.83
2026-04-24 12:00:00.000,1777032000,729.85,731.57,723.92,724.87
2026-04-24 12:30:00.000,1777033800,724.92,733.8,724.53,733.8
2026-04-24 13:00:00.000,1777035600,733.72,737.94,731.34,734.95
2026-04-24 13:30:00.000,1777037400,735.22,739.91,731.75,736.97
2026-04-24 14:00:00.000,1777039200,736.56,737,727.73,728.63
2026-04-24 14:30:00.000,1777041000,728.72,730.09,720.34,721.77
2026-04-24 15:00:00.000,1777042800,721.74,726.07,716.49,717.32
2026-04-24 15:30:00.000,1777044600,717.27,729.26,716.03,727.56
2026-04-24 16:00:00.000,1777046400,727.47,732.7,724.49,732.4
2026-04-24 16:30:00.000,1777048200,732.43,733.02,725.86,730.37
2026-04-24 17:00:00.000,1777050000,730.27,734.3,728.41,731.41
2026-04-24 17:30:00.000,1777051800,731.41,743.67,730.9,740.7
2026-04-24 18:00:00.000,1777053600,740.92,744.4,738.2,744.4
2026-04-24 18:30:00.000,1777055400,744.19,753.64,741.98,753.64
2026-04-24 19:00:00.000,1777057200,753.53,755.89,746.61,749.89
2026-04-24 19:30:00.000,1777059000,749.75,752.34,743.63,747.39
2026-04-24 20:00:00.000,1777060800,747.48,747.48,731.66,731.66
2026-04-24 20:30:00.000,1777062600,731.51,736.04,727.95,728.22
2026-04-24 21:00:00.000,1777064400,728.66,738.23,726.33,735.69
2026-04-24 21:30:00.000,1777066200,735.79,736.67,727.54,728.77
2026-04-24 22:00:00.000,1777068000,728.94,731.45,724.86,728.93
2026-04-24 22:30:00.000,1777069800,729.26,730.01,722.22,723.85
2026-04-24 23:00:00.000,1777071600,723.91,726.86,720.73,722.78
2026-04-24 23:30:00.000,1777073400,722.75,723.2,714.29,714.57
2026-04-25 00:00:00.000,1777075200,714.08,717.39,713.1,714.61
2026-04-25 00:30:00.000,1777077000,714.42,718.03,706.33,709.45
2026-04-25 01:00:00.000,1777078800,709.48,713.85,705.47,713.64
2026-04-25 01:30:00.000,1777080600,713.89,714.15,701.15,703.2
2026-04-25 02:00:00.000,1777082400,703.1,703.1,693.76,696.36
2026-04-25 02:30:00.000,1777084200,696.59,701.74,694.16,700.92
2026-04-25 03:00:00.000,1777086000,700.86,703.44,697.11,699.31
2026-04-25 03:30:00.000,1777087800,699.25,702.92,690.72,694.03
2026-04-25 04:00:00.000,1777089600,693.98,694.76,685.13,689.92
2026-04-25 04:30:00.000,1777091400,689.94,693.9,688.93,693.57
2026-04-25 05:00:00.000,1777093200,693.48,696.67,690.24,695.56
